,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gogrial,8.5332,28.1004,29.72,60,99,1.56,SS,1627566763
1,cape town,-33.9258,18.4232,15.06,90,75,0.45,ZA,1627566765
2,vallenar,-28.5708,-70.7581,18.65,22,0,0.64,CL,1627566767
3,padang,-0.9492,100.3543,25.03,84,94,0.93,ID,1627566000
4,pevek,69.7008,170.3133,0.3,97,100,12.04,RU,1627566771
5,rengo,-34.4167,-70.8667,10.18,25,0,0.28,CL,1627566772
6,zeya,53.75,127.2667,17.27,93,54,1.79,RU,1627566774
7,punta arenas,-53.15,-70.9167,6.06,75,75,8.23,CL,1627566777
8,mataura,-46.1927,168.8643,7.49,94,21,1.79,NZ,1627566779
9,alofi,-19.0595,-169.9187,20.94,94,79,2.06,NU,1627566781
10,shuangcheng,45.35,126.2833,26.82,75,100,1.99,CN,1627566783
11,albany,42.6001,-73.9662,22.93,80,95,1.79,US,1627566681
12,yellowknife,62.456,-114.3525,15.74,100,75,0.45,CA,1627566786
13,bredasdorp,-34.5322,20.0403,17.62,59,100,6.17,ZA,1627566788
14,ushuaia,-54.8,-68.3,8.81,46,40,9.77,AR,1627566790
15,bachaquero,9.9694,-71.1494,29.28,67,45,2.84,VE,1627566792
16,pointe michel,15.25,-61.3833,31.52,62,75,1.54,DM,1627566794
17,rocha,-34.4833,-54.3333,8.31,64,13,5.97,UY,1627566796
18,oum hadjer,13.2954,19.6966,32.84,50,30,2.89,TD,1627566797
19,opuwo,-18.0607,13.84,26.04,14,8,6.48,NA,1627566801
20,lae,-6.7221,146.9847,24.98,88,99,0.12,PG,1627566803
21,lavrentiya,65.5833,-171.0,6.08,91,73,4.04,RU,1627566806
22,chokurdakh,70.6333,147.9167,2.05,76,100,3.04,RU,1627566810
23,roma,43.2128,-75.4557,20.47,82,1,2.06,US,1627566723
24,kerema,-7.9631,145.7785,25.15,91,100,1.71,PG,1627566813
25,sharlyk,52.9167,54.75,25.64,25,100,3.42,RU,1627566815
26,hobart,-42.8794,147.3294,8.48,78,40,2.57,AU,1627566819
27,harrismith,-28.2728,29.1295,17.54,19,0,3.52,ZA,1627566820
28,atuona,-9.8,-139.0333,24.74,76,59,5.38,PF,1627566822
29,butaritari,3.0707,172.7902,28.19,73,10,3.9,KI,1627566824
30,srednekolymsk,67.45,153.6833,4.44,85,100,3.69,RU,1627566826
31,rikitea,-23.1203,-134.9692,22.46,81,56,4.79,PF,1627566609
32,broome,42.2506,-75.833,20.39,88,100,1.79,US,1627566833
33,carnarvon,-24.8667,113.6333,18.04,71,0,3.6,AU,1627566835
34,margate,51.3813,1.3862,22.61,41,37,1.79,GB,1627566837
35,binzhou,37.3667,118.0167,23.21,96,81,3.3,CN,1627566839
36,pacific grove,36.6177,-121.9166,16.81,95,81,0.45,US,1627566841
37,vrangel,42.7297,133.0839,22.85,87,100,1.68,RU,1627566843
38,port moresby,-9.4431,147.1797,24.68,94,75,1.54,PG,1627566845
39,khatanga,71.9667,102.5,21.72,56,7,2.08,RU,1627566848
40,laguna,38.421,-121.4238,27.13,71,20,0.45,US,1627566850
41,cerrito,6.8432,-72.694,12.66,63,35,1.54,CO,1627566852
42,busselton,-33.65,115.3333,10.6,67,100,13.08,AU,1627566853
43,bluff,-46.6,168.3333,7.67,81,93,4.01,NZ,1627566855
44,bethel,41.3712,-73.414,24.0,84,97,0.89,US,1627566859
45,te anau,-45.4167,167.7167,6.23,90,91,0.81,NZ,1627566861
46,saint-pierre,-21.3393,55.4781,21.82,68,0,12.35,RE,1627566862
47,darhan,49.4867,105.9228,18.72,77,51,1.48,MN,1627566864
48,severo-kurilsk,50.6789,156.125,13.71,97,69,1.78,RU,1627566866
49,vaini,-21.2,-175.2,19.09,88,20,2.57,TO,1627566870
